

This is RAxML version 8.2.12 released by Alexandros Stamatakis on May 2018.

With greatly appreciated code contributions by:
Andre Aberer      (HITS)
Simon Berger      (HITS)
Alexey Kozlov     (HITS)
Kassian Kobert    (HITS)
David Dao         (KIT and HITS)
Sarah Lutteropp   (KIT and HITS)
Nick Pattengale   (Sandia)
Wayne Pfeiffer    (SDSC)
Akifumi S. Tanabe (NRIFS)
Charlie Taylor    (UF)


Alignment has 787 distinct alignment patterns

Proportion of gaps and completely undetermined characters in this alignment: 74.55%

RAxML rapid bootstrapping and subsequent ML search

Using 1 distinct models/data partitions with joint branch length optimization



Executing 200 rapid bootstrap inferences and thereafter a thorough ML search 

All free model parameters will be estimated by RAxML
GAMMA model of rate heterogeneity, ML estimate of alpha-parameter

GAMMA Model parameters will be estimated up to an accuracy of 0.1000000000 Log Likelihood units

Partition: 0
Alignment Patterns: 787
Name: No Name Provided
DataType: AA
Substitution Matrix: LG
Using fixed base frequencies




RAxML was called as follows:

raxmlHPC-PTHREADS -T 16 -s /jetstream2/scratch/main/jobs/72980310/inputs/dataset_262704a0-35ad-4f02-881a-bdd3196daf1c.dat -n galaxy -m PROTGAMMALG -p 12345 -N 200 -B 0.03 -c 25 -f a -K GTR -W 100 -x 12345 



Time for BS model parameter optimization 2.028737
Bootstrap[0]: Time 104.851435 seconds, bootstrap likelihood -139348.170638, best rearrangement setting 13
Bootstrap[39]: Time 105.057589 seconds, bootstrap likelihood -138377.402863, best rearrangement setting 13
Bootstrap[40]: Time 120.681329 seconds, bootstrap likelihood -126332.349892, best rearrangement setting 13
Bootstrap[41]: Time 84.295956 seconds, bootstrap likelihood -132838.973653, best rearrangement setting 10
Bootstrap[42]: Time 45.681352 seconds, bootstrap likelihood -134307.583966, best rearrangement setting 5
Bootstrap[43]: Time 108.450604 seconds, bootstrap likelihood -153101.195404, best rearrangement setting 14
Bootstrap[44]: Time 83.211486 seconds, bootstrap likelihood -141621.902119, best rearrangement setting 10
Bootstrap[45]: Time 117.221408 seconds, bootstrap likelihood -144736.247365, best rearrangement setting 15
Bootstrap[46]: Time 120.410221 seconds, bootstrap likelihood -147558.619957, best rearrangement setting 14
Bootstrap[47]: Time 76.195466 seconds, bootstrap likelihood -127820.994366, best rearrangement setting 8
Bootstrap[48]: Time 53.494078 seconds, bootstrap likelihood -141055.595018, best rearrangement setting 6
Bootstrap[49]: Time 63.181355 seconds, bootstrap likelihood -132382.492113, best rearrangement setting 7
Bootstrap[50]: Time 67.915010 seconds, bootstrap likelihood -124911.739075, best rearrangement setting 7
Bootstrap[51]: Time 101.525846 seconds, bootstrap likelihood -149627.984097, best rearrangement setting 11
Bootstrap[52]: Time 92.640989 seconds, bootstrap likelihood -131692.963995, best rearrangement setting 12
Bootstrap[53]: Time 72.236992 seconds, bootstrap likelihood -120107.866531, best rearrangement setting 8
Bootstrap[54]: Time 83.615165 seconds, bootstrap likelihood -133181.133016, best rearrangement setting 9
Bootstrap[55]: Time 86.552040 seconds, bootstrap likelihood -125194.653914, best rearrangement setting 11
Bootstrap[56]: Time 45.635965 seconds, bootstrap likelihood -124730.461505, best rearrangement setting 5
Bootstrap[57]: Time 66.191181 seconds, bootstrap likelihood -146575.457837, best rearrangement setting 7
Bootstrap[58]: Time 88.431241 seconds, bootstrap likelihood -122566.250631, best rearrangement setting 10
Bootstrap[59]: Time 84.923725 seconds, bootstrap likelihood -120904.285492, best rearrangement setting 9
Bootstrap[60]: Time 64.663670 seconds, bootstrap likelihood -141677.931909, best rearrangement setting 7
Bootstrap[61]: Time 45.294719 seconds, bootstrap likelihood -143162.480750, best rearrangement setting 5
Bootstrap[62]: Time 102.863072 seconds, bootstrap likelihood -137329.276315, best rearrangement setting 11
Bootstrap[63]: Time 91.917303 seconds, bootstrap likelihood -132992.910017, best rearrangement setting 12
Bootstrap[64]: Time 65.593924 seconds, bootstrap likelihood -152377.178209, best rearrangement setting 7
Bootstrap[65]: Time 44.646195 seconds, bootstrap likelihood -135907.691682, best rearrangement setting 5
Bootstrap[66]: Time 44.743498 seconds, bootstrap likelihood -137209.237586, best rearrangement setting 5
Bootstrap[67]: Time 115.249621 seconds, bootstrap likelihood -140300.189482, best rearrangement setting 15
Bootstrap[68]: Time 93.912272 seconds, bootstrap likelihood -131017.948260, best rearrangement setting 11
Bootstrap[69]: Time 44.784156 seconds, bootstrap likelihood -129267.847621, best rearrangement setting 5
Bootstrap[70]: Time 73.351803 seconds, bootstrap likelihood -138532.199518, best rearrangement setting 8
Bootstrap[71]: Time 87.840178 seconds, bootstrap likelihood -136578.529925, best rearrangement setting 10
Bootstrap[72]: Time 93.395430 seconds, bootstrap likelihood -136023.041095, best rearrangement setting 11
Bootstrap[73]: Time 80.141700 seconds, bootstrap likelihood -133734.199744, best rearrangement setting 9
Bootstrap[74]: Time 47.968745 seconds, bootstrap likelihood -138787.119846, best rearrangement setting 5
Bootstrap[75]: Time 68.651121 seconds, bootstrap likelihood -135179.696258, best rearrangement setting 8
Bootstrap[76]: Time 82.395803 seconds, bootstrap likelihood -138158.507812, best rearrangement setting 9
Bootstrap[77]: Time 101.548343 seconds, bootstrap likelihood -126181.416255, best rearrangement setting 11
Bootstrap[78]: Time 120.198626 seconds, bootstrap likelihood -143085.576735, best rearrangement setting 15
Bootstrap[79]: Time 72.830333 seconds, bootstrap likelihood -130075.411291, best rearrangement setting 9
Bootstrap[80]: Time 121.586848 seconds, bootstrap likelihood -125716.173969, best rearrangement setting 15
Bootstrap[81]: Time 57.615626 seconds, bootstrap likelihood -135214.937221, best rearrangement setting 7
Bootstrap[82]: Time 53.544185 seconds, bootstrap likelihood -130218.781553, best rearrangement setting 6
Bootstrap[83]: Time 97.322586 seconds, bootstrap likelihood -134939.388724, best rearrangement setting 10
Bootstrap[84]: Time 100.727112 seconds, bootstrap likelihood -140341.218022, best rearrangement setting 11
Bootstrap[85]: Time 74.007774 seconds, bootstrap likelihood -136452.694940, best rearrangement setting 8
Bootstrap[86]: Time 67.485857 seconds, bootstrap likelihood -143131.765937, best rearrangement setting 7
Bootstrap[87]: Time 62.759050 seconds, bootstrap likelihood -134801.335263, best rearrangement setting 7
Bootstrap[88]: Time 103.439359 seconds, bootstrap likelihood -135307.804682, best rearrangement setting 12
Bootstrap[89]: Time 92.952370 seconds, bootstrap likelihood -141430.694554, best rearrangement setting 10
Bootstrap[90]: Time 72.236184 seconds, bootstrap likelihood -120576.641404, best rearrangement setting 8
Bootstrap[91]: Time 98.294354 seconds, bootstrap likelihood -133540.529809, best rearrangement setting 12
Bootstrap[92]: Time 107.727079 seconds, bootstrap likelihood -135453.294312, best rearrangement setting 13
Bootstrap[93]: Time 121.290226 seconds, bootstrap likelihood -138983.862725, best rearrangement setting 15
Bootstrap[94]: Time 47.094879 seconds, bootstrap likelihood -138053.066169, best rearrangement setting 5
Bootstrap[95]: Time 44.948229 seconds, bootstrap likelihood -138345.429921, best rearrangement setting 5
Bootstrap[96]: Time 104.825595 seconds, bootstrap likelihood -120529.703598, best rearrangement setting 13
Bootstrap[97]: Time 88.878180 seconds, bootstrap likelihood -124910.400524, best rearrangement setting 11
Bootstrap[98]: Time 51.762264 seconds, bootstrap likelihood -131535.600518, best rearrangement setting 6
Bootstrap[99]: Time 107.211086 seconds, bootstrap likelihood -139253.003264, best rearrangement setting 14
Bootstrap[100]: Time 102.981680 seconds, bootstrap likelihood -125109.950119, best rearrangement setting 12
Bootstrap[101]: Time 87.082686 seconds, bootstrap likelihood -137011.409169, best rearrangement setting 10
Bootstrap[102]: Time 66.993635 seconds, bootstrap likelihood -131025.911317, best rearrangement setting 8
Bootstrap[103]: Time 64.775615 seconds, bootstrap likelihood -125154.393889, best rearrangement setting 8
Bootstrap[104]: Time 113.674001 seconds, bootstrap likelihood -132952.808191, best rearrangement setting 15
Bootstrap[105]: Time 60.608431 seconds, bootstrap likelihood -130834.828436, best rearrangement setting 7
Bootstrap[106]: Time 51.949899 seconds, bootstrap likelihood -125956.624788, best rearrangement setting 6
Bootstrap[107]: Time 95.340966 seconds, bootstrap likelihood -134296.425037, best rearrangement setting 13
Bootstrap[108]: Time 109.385703 seconds, bootstrap likelihood -131262.724026, best rearrangement setting 14
Bootstrap[109]: Time 97.963983 seconds, bootstrap likelihood -127403.979969, best rearrangement setting 12
Bootstrap[110]: Time 63.420521 seconds, bootstrap likelihood -135733.361627, best rearrangement setting 7
Bootstrap[111]: Time 127.019222 seconds, bootstrap likelihood -151115.115222, best rearrangement setting 15
Bootstrap[112]: Time 122.607796 seconds, bootstrap likelihood -132751.125068, best rearrangement setting 14
Bootstrap[113]: Time 53.628361 seconds, bootstrap likelihood -133836.954141, best rearrangement setting 5
Bootstrap[114]: Time 52.404594 seconds, bootstrap likelihood -135683.486987, best rearrangement setting 6
Bootstrap[115]: Time 65.763251 seconds, bootstrap likelihood -135442.371557, best rearrangement setting 7
Bootstrap[116]: Time 99.172103 seconds, bootstrap likelihood -131295.285744, best rearrangement setting 11
Bootstrap[117]: Time 76.201261 seconds, bootstrap likelihood -134480.585416, best rearrangement setting 8
Bootstrap[118]: Time 80.596934 seconds, bootstrap likelihood -130155.193336, best rearrangement setting 9
Bootstrap[119]: Time 113.573360 seconds, bootstrap likelihood -145942.882686, best rearrangement setting 14
Bootstrap[120]: Time 110.684121 seconds, bootstrap likelihood -139948.726342, best rearrangement setting 12
Bootstrap[121]: Time 70.463175 seconds, bootstrap likelihood -142238.715239, best rearrangement setting 8
Bootstrap[122]: Time 83.561831 seconds, bootstrap likelihood -131799.542804, best rearrangement setting 9
Bootstrap[123]: Time 56.059418 seconds, bootstrap likelihood -129660.649155, best rearrangement setting 6
Bootstrap[124]: Time 88.738285 seconds, bootstrap likelihood -144638.798409, best rearrangement setting 11
Bootstrap[125]: Time 97.860756 seconds, bootstrap likelihood -146244.308875, best rearrangement setting 11
Bootstrap[126]: Time 93.997864 seconds, bootstrap likelihood -126011.329792, best rearrangement setting 12
Bootstrap[127]: Time 82.476842 seconds, bootstrap likelihood -140041.052470, best rearrangement setting 9
Bootstrap[128]: Time 94.664796 seconds, bootstrap likelihood -143887.577824, best rearrangement setting 11
Bootstrap[129]: Time 47.059567 seconds, bootstrap likelihood -130979.235033, best rearrangement setting 5
Bootstrap[130]: Time 86.762290 seconds, bootstrap likelihood -135664.565600, best rearrangement setting 10
Bootstrap[131]: Time 76.136767 seconds, bootstrap likelihood -137374.767107, best rearrangement setting 9
Bootstrap[132]: Time 117.382330 seconds, bootstrap likelihood -138616.781135, best rearrangement setting 14
Bootstrap[133]: Time 107.297182 seconds, bootstrap likelihood -137610.929767, best rearrangement setting 13
Bootstrap[134]: Time 51.933744 seconds, bootstrap likelihood -132856.353751, best rearrangement setting 6
Bootstrap[135]: Time 95.927156 seconds, bootstrap likelihood -130175.374494, best rearrangement setting 11
Bootstrap[136]: Time 110.776804 seconds, bootstrap likelihood -131482.939404, best rearrangement setting 13
Bootstrap[137]: Time 55.534225 seconds, bootstrap likelihood -139692.401930, best rearrangement setting 6
Bootstrap[138]: Time 117.987754 seconds, bootstrap likelihood -128727.169971, best rearrangement setting 15
Bootstrap[139]: Time 43.842044 seconds, bootstrap likelihood -134452.432204, best rearrangement setting 5
Bootstrap[140]: Time 106.470785 seconds, bootstrap likelihood -127731.858077, best rearrangement setting 13
Bootstrap[141]: Time 45.287947 seconds, bootstrap likelihood -138329.552914, best rearrangement setting 5
Bootstrap[142]: Time 114.235084 seconds, bootstrap likelihood -147837.320535, best rearrangement setting 15
Bootstrap[143]: Time 62.220198 seconds, bootstrap likelihood -139676.134844, best rearrangement setting 7
Bootstrap[144]: Time 94.690628 seconds, bootstrap likelihood -122469.543555, best rearrangement setting 13
Bootstrap[145]: Time 63.640966 seconds, bootstrap likelihood -134282.261705, best rearrangement setting 7
Bootstrap[146]: Time 76.031567 seconds, bootstrap likelihood -133373.613187, best rearrangement setting 9
Bootstrap[147]: Time 105.278369 seconds, bootstrap likelihood -136562.728143, best rearrangement setting 12
Bootstrap[148]: Time 66.340947 seconds, bootstrap likelihood -132849.667347, best rearrangement setting 8
Bootstrap[149]: Time 99.846300 seconds, bootstrap likelihood -148221.589443, best rearrangement setting 12
Bootstrap[150]: Time 113.617653 seconds, bootstrap likelihood -133469.471127, best rearrangement setting 14
Bootstrap[151]: Time 44.519530 seconds, bootstrap likelihood -127603.115627, best rearrangement setting 5
Bootstrap[152]: Time 47.121809 seconds, bootstrap likelihood -139017.200897, best rearrangement setting 5
Bootstrap[153]: Time 101.153925 seconds, bootstrap likelihood -138466.887076, best rearrangement setting 13
Bootstrap[154]: Time 107.582614 seconds, bootstrap likelihood -134136.566502, best rearrangement setting 14
Bootstrap[155]: Time 99.257361 seconds, bootstrap likelihood -119379.722304, best rearrangement setting 13
Bootstrap[156]: Time 89.785876 seconds, bootstrap likelihood -135706.212602, best rearrangement setting 11
Bootstrap[157]: Time 73.898725 seconds, bootstrap likelihood -133476.266281, best rearrangement setting 8
Bootstrap[158]: Time 69.708215 seconds, bootstrap likelihood -154934.399968, best rearrangement setting 8
Bootstrap[159]: Time 46.315940 seconds, bootstrap likelihood -134647.547611, best rearrangement setting 5
Bootstrap[160]: Time 121.462626 seconds, bootstrap likelihood -139069.883456, best rearrangement setting 15
Bootstrap[161]: Time 118.170552 seconds, bootstrap likelihood -127265.058074, best rearrangement setting 13
Bootstrap[162]: Time 116.136737 seconds, bootstrap likelihood -130901.399298, best rearrangement setting 13
Bootstrap[163]: Time 92.202011 seconds, bootstrap likelihood -118665.043479, best rearrangement setting 12
Bootstrap[164]: Time 63.630710 seconds, bootstrap likelihood -130902.612920, best rearrangement setting 7
Bootstrap[165]: Time 108.134107 seconds, bootstrap likelihood -137335.547765, best rearrangement setting 13
Bootstrap[166]: Time 88.794511 seconds, bootstrap likelihood -124122.143248, best rearrangement setting 10
Bootstrap[167]: Time 96.128370 seconds, bootstrap likelihood -134776.061971, best rearrangement setting 12
Bootstrap[168]: Time 105.700517 seconds, bootstrap likelihood -135542.066943, best rearrangement setting 14
Bootstrap[169]: Time 78.832872 seconds, bootstrap likelihood -125252.670492, best rearrangement setting 10
Bootstrap[170]: Time 47.064762 seconds, bootstrap likelihood -137313.559442, best rearrangement setting 5
Bootstrap[171]: Time 105.999111 seconds, bootstrap likelihood -135865.163716, best rearrangement setting 11
Bootstrap[172]: Time 114.795380 seconds, bootstrap likelihood -149973.324872, best rearrangement setting 12
Bootstrap[173]: Time 110.069201 seconds, bootstrap likelihood -137298.443086, best rearrangement setting 11
Bootstrap[174]: Time 135.917927 seconds, bootstrap likelihood -143011.249315, best rearrangement setting 15
Bootstrap[175]: Time 109.275402 seconds, bootstrap likelihood -135924.438609, best rearrangement setting 14
Bootstrap[176]: Time 72.939605 seconds, bootstrap likelihood -125585.706175, best rearrangement setting 8
Bootstrap[177]: Time 71.572402 seconds, bootstrap likelihood -144958.943496, best rearrangement setting 8
Bootstrap[178]: Time 109.606149 seconds, bootstrap likelihood -130734.805860, best rearrangement setting 14
Bootstrap[179]: Time 44.094130 seconds, bootstrap likelihood -125304.814229, best rearrangement setting 5
Bootstrap[180]: Time 97.614520 seconds, bootstrap likelihood -131925.197391, best rearrangement setting 12
Bootstrap[181]: Time 119.722077 seconds, bootstrap likelihood -139215.345329, best rearrangement setting 14
Bootstrap[182]: Time 57.756404 seconds, bootstrap likelihood -129078.048090, best rearrangement setting 7
Bootstrap[183]: Time 95.173801 seconds, bootstrap likelihood -140317.614540, best rearrangement setting 11
Bootstrap[184]: Time 127.155029 seconds, bootstrap likelihood -133956.177488, best rearrangement setting 15
Bootstrap[185]: Time 70.133706 seconds, bootstrap likelihood -131449.369795, best rearrangement setting 8
Bootstrap[186]: Time 98.446370 seconds, bootstrap likelihood -139438.306938, best rearrangement setting 13
Bootstrap[187]: Time 71.225538 seconds, bootstrap likelihood -132838.866853, best rearrangement setting 8
Bootstrap[188]: Time 97.472274 seconds, bootstrap likelihood -132815.867665, best rearrangement setting 12
Bootstrap[189]: Time 86.781774 seconds, bootstrap likelihood -132108.076724, best rearrangement setting 11
Bootstrap[190]: Time 102.747607 seconds, bootstrap likelihood -142251.538948, best rearrangement setting 15
Bootstrap[191]: Time 72.870605 seconds, bootstrap likelihood -142269.958364, best rearrangement setting 8
Bootstrap[192]: Time 72.004726 seconds, bootstrap likelihood -140388.790814, best rearrangement setting 8
Bootstrap[193]: Time 83.002384 seconds, bootstrap likelihood -144655.227044, best rearrangement setting 10
Bootstrap[194]: Time 64.593933 seconds, bootstrap likelihood -136751.356390, best rearrangement setting 8
Bootstrap[195]: Time 64.515410 seconds, bootstrap likelihood -140642.042445, best rearrangement setting 7
Bootstrap[196]: Time 100.661971 seconds, bootstrap likelihood -146272.773541, best rearrangement setting 11
Bootstrap[197]: Time 69.813978 seconds, bootstrap likelihood -149880.648077, best rearrangement setting 8
Bootstrap[198]: Time 129.416972 seconds, bootstrap likelihood -145376.935330, best rearrangement setting 15
Bootstrap[199]: Time 68.084252 seconds, bootstrap likelihood -129210.329386, best rearrangement setting 8


Overall Time for 200 Rapid Bootstraps 16951.978834 seconds
Average Time per Rapid Bootstrap 84.759894 seconds

Starting ML Search ...

Fast ML optimization finished

Fast ML search Time: 31935.844220 seconds

Slow ML Search 0 Likelihood: -135640.402332
Slow ML Search 1 Likelihood: -135647.812859
Slow ML Search 2 Likelihood: -135641.872564
Slow ML Search 3 Likelihood: -135642.833576
Slow ML Search 4 Likelihood: -135641.598212
Slow ML Search 5 Likelihood: -135646.905354
Slow ML Search 6 Likelihood: -135633.251845
Slow ML Search 7 Likelihood: -135640.316152
Slow ML Search 8 Likelihood: -135634.369376
Slow ML Search 9 Likelihood: -135638.062834
Slow ML optimization finished

Slow ML search Time: 7403.834171 seconds
Thorough ML search Time: 200.850910 seconds

Final ML Optimization Likelihood: -135633.217356

Model Information:

Model Parameters of Partition 0, Name: No Name Provided, Type of Data: AA
alpha: 1.373831
Tree-Length: 211.812843
rate A <-> R: 0.399182
rate A <-> N: 0.259945
rate A <-> D: 0.371058
rate A <-> C: 2.337364
rate A <-> Q: 0.910775
rate A <-> E: 0.975241
rate A <-> G: 1.940106
rate A <-> H: 0.336984
rate A <-> I: 0.140697
rate A <-> L: 0.371240
rate A <-> K: 0.503815
rate A <-> M: 1.055520
rate A <-> F: 0.238237
rate A <-> P: 1.105868
rate A <-> S: 4.439041
rate A <-> T: 2.009090
rate A <-> W: 0.169702
rate A <-> Y: 0.205613
rate A <-> V: 2.392567
rate R <-> N: 0.706048
rate R <-> D: 0.116398
rate R <-> C: 0.501968
rate R <-> Q: 2.636754
rate R <-> E: 0.341785
rate R <-> G: 0.366408
rate R <-> H: 2.278690
rate R <-> I: 0.119250
rate R <-> L: 0.283449
rate R <-> K: 5.940467
rate R <-> M: 0.454623
rate R <-> F: 0.049508
rate R <-> P: 0.312264
rate R <-> S: 0.805843
rate R <-> T: 0.543695
rate R <-> W: 0.557424
rate R <-> Y: 0.295274
rate R <-> V: 0.160471
rate N <-> D: 4.766737
rate N <-> C: 0.496537
rate N <-> Q: 1.592389
rate N <-> E: 0.508692
rate N <-> G: 1.350015
rate N <-> H: 4.234381
rate N <-> I: 0.179830
rate N <-> L: 0.064256
rate N <-> K: 2.014327
rate N <-> M: 0.348390
rate N <-> F: 0.084068
rate N <-> P: 0.151925
rate N <-> S: 3.764032
rate N <-> T: 1.878729
rate N <-> W: 0.042610
rate N <-> Y: 0.574720
rate N <-> V: 0.078587
rate D <-> C: 0.058743
rate D <-> Q: 0.491483
rate D <-> E: 4.924234
rate D <-> G: 0.793424
rate D <-> H: 0.870603
rate D <-> I: 0.010038
rate D <-> L: 0.014157
rate D <-> K: 0.265711
rate D <-> M: 0.023991
rate D <-> F: 0.016354
rate D <-> P: 0.370412
rate D <-> S: 1.164675
rate D <-> T: 0.399902
rate D <-> W: 0.028068
rate D <-> Y: 0.126872
rate D <-> V: 0.035653
rate C <-> Q: 0.079639
rate C <-> E: 0.003286
rate C <-> G: 0.534566
rate C <-> H: 0.601499
rate C <-> I: 0.301083
rate C <-> L: 0.557800
rate C <-> K: 0.012457
rate C <-> M: 0.839207
rate C <-> F: 1.037881
rate C <-> P: 0.070787
rate C <-> S: 2.614753
rate C <-> T: 1.073780
rate C <-> W: 0.629281
rate C <-> Y: 1.094488
rate C <-> V: 1.839864
rate Q <-> E: 3.876936
rate Q <-> G: 0.251626
rate Q <-> H: 4.520102
rate Q <-> I: 0.068413
rate Q <-> L: 0.546954
rate Q <-> K: 3.037150
rate Q <-> M: 1.570619
rate Q <-> F: 0.033669
rate Q <-> P: 0.586241
rate Q <-> S: 1.149231
rate Q <-> T: 1.014297
rate Q <-> W: 0.221802
rate Q <-> Y: 0.241650
rate Q <-> V: 0.197511
rate E <-> G: 0.327583
rate E <-> H: 0.398044
rate E <-> I: 0.041567
rate E <-> L: 0.065426
rate E <-> K: 1.697022
rate E <-> M: 0.163145
rate E <-> F: 0.017664
rate E <-> P: 0.393844
rate E <-> S: 0.574671
rate E <-> T: 0.567695
rate E <-> W: 0.073107
rate E <-> Y: 0.112720
rate E <-> V: 0.230098
rate G <-> H: 0.292498
rate G <-> I: 0.008174
rate G <-> L: 0.041563
rate G <-> K: 0.278555
rate G <-> M: 0.131033
rate G <-> F: 0.084125
rate G <-> P: 0.184955
rate G <-> S: 1.633930
rate G <-> T: 0.121922
rate G <-> W: 0.252125
rate G <-> Y: 0.051346
rate G <-> V: 0.072026
rate H <-> I: 0.102245
rate H <-> L: 0.343988
rate H <-> K: 0.654763
rate H <-> M: 0.415502
rate H <-> F: 0.640560
rate H <-> P: 0.477834
rate H <-> S: 0.929667
rate H <-> T: 0.548649
rate H <-> W: 0.560661
rate H <-> Y: 4.983361
rate H <-> V: 0.111759
rate I <-> L: 3.892408
rate I <-> K: 0.149373
rate I <-> M: 4.013113
rate I <-> F: 1.044902
rate I <-> P: 0.073509
rate I <-> S: 0.060198
rate I <-> T: 0.970728
rate I <-> W: 0.104854
rate I <-> Y: 0.218350
rate I <-> V: 10.000000
rate L <-> K: 0.129119
rate L <-> M: 5.927594
rate L <-> F: 2.434657
rate L <-> P: 0.233879
rate L <-> S: 0.171176
rate L <-> T: 0.284471
rate L <-> W: 0.581863
rate L <-> Y: 0.281383
rate L <-> V: 1.598956
rate K <-> M: 0.616581
rate K <-> F: 0.022460
rate K <-> P: 0.366530
rate K <-> S: 0.703048
rate K <-> T: 1.067567
rate K <-> W: 0.046864
rate K <-> Y: 0.123890
rate K <-> V: 0.173913
rate M <-> F: 1.689205
rate M <-> P: 0.093763
rate M <-> S: 0.325811
rate M <-> T: 1.897216
rate M <-> W: 0.653740
